,Order Number,Model Part,HIN,Order Date,Start Date,Sched Finish Date,Actual Gel Date,is_buffer,Status,Department
0,308885,N200_2024,42012,5/25/2023,7/10/2023,7/25/2023,7/7/2023,N,Offline,Dry Capping
1,318403,GS22_2024,48115,8/12/2023,11/2/2023,11/13/2023,,Y,Offline,Post Patch and Polish
2,308877,CCG23_2024,44141,5/25/2023,9/18/2023,9/26/2023,9/14/2023,Y,On Time,Post Assembly
3,309203,CCG25_2024,45045,5/26/2023,8/17/2023,8/28/2023,8/17/2023,N,Delayed,Final Assembly
4,318337,S23_2024,43039,8/11/2023,11/15/2023,11/27/2023,,Y,On Time,Post Underwater Gear
5,317655,CCG25_2024,45084,8/8/2023,11/27/2023,12/5/2023,,N,On Time,Final Assembly
6,318133,SNCB_2024,4C045,8/11/2023,11/30/2023,12/11/2023,,Y,Delayed,Post Underwater Gear
7,317619,GS22_2024,48114,8/8/2023,11/1/2023,11/9/2023,,N,On Time,QC
8,314750,GS24_2024,49051,7/15/2023,10/9/2023,10/17/2023,10/4/2023,Y,Delayed,Post Pulling
9,309181,CCG25_2024,45024,5/26/2023,7/11/2023,7/26/2023,7/10/2023,Y,Offline,Post Underwater Gear
10,319812,P25_2024,4R032,8/25/2023,11/8/2023,11/16/2023,,N,Offline,Lamination
11,310299,CCG23_2024,44156,6/6/2023,9/26/2023,10/4/2023,9/25/2023,N,On Time,Dry Capping
12,317613,P23_2024,4P015,8/8/2023,10/2/2023,10/10/2023,10/4/2023,N,Delayed,Grinding
13,312470,GS24_2024,49036,6/26/2023,8/31/2023,9/12/2023,8/29/2023,N,Delayed,QC
14,320128,P25_2024,4R016,8/29/2023,10/18/2023,10/26/2023,,N,Delayed,Underwater Gear
15,309165,CCG23_2024,44125,5/26/2023,8/31/2023,9/12/2023,8/31/2023,Y,On Time,Post Patch and Polish
16,309232,CCG23_2024,44097,5/26/2023,8/9/2023,8/17/2023,8/9/2023,Y,On Time,Post Dry Capping
17,315095,CCG23_2024,44126,7/18/2023,9/5/2023,9/13/2023,8/31/2023,N,Offline,Water Test
18,308799,CCG23_2024,44030,5/25/2023,6/15/2023,6/26/2023,,N,On Time,QC
19,308951,GS22_2024,48056,5/26/2023,8/16/2023,8/24/2023,8/14/2023,N,On Time,QC
20,312325,N200_2024,42036,6/26/2023,11/7/2023,11/15/2023,,N,On Time,Final Assembly
21,318206,GS20_2024,40049,8/11/2023,11/13/2023,11/21/2023,,Y,Delayed,Post Assembly
22,309058,S23_2024,43017,5/26/2023,8/15/2023,8/23/2023,8/8/2023,Y,On Time,Post QC
23,309735,GS24_2024,49053,6/1/2023,10/17/2023,10/25/2023,,Y,Delayed,Post Water Test
24,316372,P23_2024,4P011,7/28/2023,9/19/2023,9/27/2023,9/19/2023,N,Delayed,Water Test
25,318297,GS22_2024,48100,8/11/2023,10/11/2023,10/19/2023,,N,On Time,Underwater Gear
26,314882,S25_2024,46010,7/17/2023,11/29/2023,12/7/2023,,N,Offline,Grinding
27,318388,CCG21_2024,41025,8/12/2023,12/5/2023,12/13/2023,,Y,Delayed,Post QC
28,307915,GS22_2024,48002,5/18/2023,6/19/2023,6/27/2023,6/21/2023,Y,Delayed,Post Dry Capping
29,309092,CCG23_2024,44130,5/26/2023,9/5/2023,9/13/2023,9/5/2023,N,On Time,QC
30,310297,CCG23_2024,44152,6/6/2023,9/25/2023,10/3/2023,9/21/2023,Y,On Time,Post Underwater Gear
31,309207,CCG25_2024,45029,5/26/2023,7/27/2023,8/7/2023,7/27/2023,Y,Offline,Post Underwater Gear
32,311997,GS24_2024,49044,6/21/2023,9/19/2023,9/27/2023,9/19/2023,Y,Offline,Post Pulling
33,308798,CCG23_2024,44036,5/25/2023,6/19/2023,6/27/2023,6/14/2023,N,On Time,Final Assembly
34,317245,CCG23_2024,44250,8/4/2023,11/29/2023,12/7/2023,,Y,Offline,Post Final Finish
35,318288,N200_2024,42042,8/11/2023,11/30/2023,12/11/2023,,Y,Delayed,Post Grinding
36,309488,GS24_2024,49030,5/31/2023,8/23/2023,8/31/2023,8/24/2023,Y,On Time,Post Patch and Polish
37,316321,CCG25_2024,45065,7/27/2023,10/9/2023,10/17/2023,,N,Offline,Water Test
38,308793,CCG23_2024,44028,5/25/2023,6/14/2023,6/22/2023,6/13/2023,N,On Time,Gel Coat
39,308196,S23_2024,43010,5/22/2023,7/27/2023,8/7/2023,7/31/2023,N,On Time,Grinding
40,310176,CCG23_2024,D4084,6/6/2023,7/31/2023,8/8/2023,8/1/2023,Y,On Time,Post QC
41,322239,P25_2024,4R033,9/21/2023,11/9/2023,11/20/2023,,N,On Time,Assembly
42,308909,GS20_2024,40016,5/25/2023,8/10/2023,8/21/2023,8/14/2023,N,Delayed,QC
43,308663,S23_2024,43003,5/24/2023,6/20/2023,6/28/2023,6/19/2023,Y,On Time,Post Dry Capping
44,310325,CCG23_2024,44198,6/6/2023,10/19/2023,10/30/2023,,Y,Offline,Post Dry Capping
45,308647,CCG23_2024,44011,5/24/2023,6/6/2023,6/14/2023,,N,On Time,Lamination
46,317137,P25_2024,4R041,8/3/2023,11/27/2023,12/5/2023,,Y,Delayed,Post Final Finish
47,318339,CCG25_2024,45078,8/11/2023,11/9/2023,11/20/2023,,N,On Time,Lamination
48,317715,P25_2024,4R007,8/8/2023,9/14/2023,9/25/2023,9/14/2023,Y,Delayed,Post Grinding
49,318329,S21_2024,47022,8/11/2023,10/18/2023,10/26/2023,,N,Delayed,Dry Capping
