Order Number,Job,Model Part,Model-HIN,HIN,Serial Number,Order Date,Start Date,Finish Date,Sched Finish Date,Completion Date,Actual Gel Date,Ship Date,Model Year,Need By Date
307492,736819,SNCB_2024,SNCB-4C015,4C015,USCTC4C015G324,5/16/2023,8/1/2023,8/8/2023,8/9/2023,8/29/2023,7/31/2023,8/29/2023,2024,8/9/2023
307507,736794,CCG23_2024,G23-44065,44065,USCTC44065F324,5/16/2023,7/6/2023,7/12/2023,7/13/2023,7/31/2023,6/29/2023,8/1/2023,2024,7/13/2023
307571,736448,N200_2024,200-42006,42006,USCTC42006F324,5/16/2023,6/27/2023,7/7/2023,7/7/2023,7/31/2023,6/22/2023,7/26/2023,2024,7/7/2023
307572,736487,GS24_2024,GS24-49010,49010,USCTC49010F324,5/16/2023,6/26/2023,7/6/2023,7/6/2023,8/11/2023,6/28/2023,7/27/2023,2024,7/6/2023
307576,738869,N200_2024,200-42029,42029,USCTC42029J324,5/16/2023,10/5/2023,10/13/2023,10/16/2023,,10/5/2023,,2024,10/16/2023
307579,736449,GS22_2024,GS22-48004,48004,USCTC48004F324,5/16/2023,6/19/2023,6/27/2023,6/27/2023,7/27/2023,6/26/2023,7/26/2023,2024,6/27/2023
307642,736574,GS22_2024,GS22-48006,48006,USCTC48006F324,5/17/2023,6/20/2023,6/27/2023,6/28/2023,7/31/2023,6/27/2023,8/2/2023,2024,6/28/2023
307650,736678,GS22_2024,GS22-48047,48047,USCTC48047H324,5/17/2023,8/2/2023,8/9/2023,8/10/2023,8/28/2023,8/9/2023,8/31/2023,2024,8/10/2023
307651,736572,S21_2024,S21-47009,47009,USCTC47009H324,5/17/2023,8/1/2023,8/8/2023,8/9/2023,8/21/2023,8/2/2023,9/25/2023,2024,8/9/2023
307782,736284,GS24_2024,GS24-49007,49007,USCTC49007F324,5/18/2023,6/20/2023,6/28/2023,6/28/2023,7/31/2023,6/20/2023,7/17/2023,2024,6/28/2023
307909,736904,GS24_2024,GS24-49012,49012,USCTC49012F324,5/18/2023,6/28/2023,7/7/2023,7/10/2023,8/9/2023,7/6/2023,8/15/2023,2024,7/10/2023
307910,737525,GS24_2024,GS24-49033,49033,USCTC49033H324,5/18/2023,8/24/2023,9/4/2023,9/5/2023,9/12/2023,8/17/2023,9/13/2023,2024,9/5/2023
307911,736583,GS22_2024,GS22-48028,48028,USCTC48028G324,5/18/2023,7/7/2023,7/21/2023,7/24/2023,8/14/2023,7/25/2023,8/15/2023,2024,7/24/2023
307912,738041,GS22_2024,GS22-48083,48083,USCTC48083I324,5/18/2023,9/13/2023,9/20/2023,9/21/2023,10/3/2023,9/12/2023,10/3/2023,2024,9/21/2023
307913,738082,S23_2024,S23-43021,43021,USCTC43021I324,5/18/2023,9/14/2023,9/22/2023,9/25/2023,,9/13/2023,,2024,9/25/2023
307914,738678,S23_2024,S23-43026,43026,USCTC43026J324,5/18/2023,10/3/2023,10/10/2023,10/11/2023,,10/2/2023,,2024,10/11/2023
307915,736283,GS22_2024,GS22-48002,48002,USCTC48002F324,5/18/2023,6/19/2023,6/27/2023,6/27/2023,7/27/2023,6/21/2023,7/17/2023,2024,6/27/2023
307917,737191,S25_2024,S25-46004,46004,USCTC46004H324,5/18/2023,8/8/2023,8/15/2023,8/16/2023,9/6/2023,8/9/2023,9/6/2023,2024,8/16/2023
308079,736522,S21_2024,S21-47005,47005,USCTC47005F324,5/19/2023,6/28/2023,7/7/2023,7/10/2023,8/3/2023,6/28/2023,8/7/2023,2024,7/10/2023
308081,736813,CCG23_2024,G23-44083,44083,USCTC44083G324,5/19/2023,7/27/2023,8/4/2023,8/7/2023,8/31/2023,7/12/2023,8/15/2023,2024,8/7/2023
308082,737946,CCG23_2024,G23-44143,44143,USCTC44143I324,5/19/2023,9/7/2023,9/15/2023,9/18/2023,,9/6/2023,,2024,9/18/2023
308095,737980,CCG23_2024,G23-44147,44147,USCTC44147I324,5/19/2023,9/11/2023,9/18/2023,9/19/2023,10/3/2023,9/11/2023,10/3/2023,2024,9/19/2023
308096,736638,GS22_2024,GS22-48044,48044,USCTC48044H324,5/19/2023,8/1/2023,8/8/2023,8/9/2023,8/28/2023,8/7/2023,8/31/2023,2024,8/9/2023
308099,U0000000001988,N200_2024,200-42033,42033,,5/20/2023,10/26/2023,11/3/2023,11/6/2023,,,,2024,11/6/2023
308100,736809,N200_2024,200-42015,42015,USCTC42015G324,5/20/2023,7/25/2023,8/1/2023,8/2/2023,8/17/2023,7/31/2023,8/22/2023,2024,8/2/2023
308101,738276,N200_2024,200-42026,42026,USCTC42026I324,5/20/2023,9/19/2023,9/26/2023,9/27/2023,10/5/2023,9/19/2023,,2024,9/27/2023
308170,736704,N200_2024,200-42014,42014,USCTC42014G324,5/22/2023,7/24/2023,7/31/2023,8/1/2023,8/21/2023,7/25/2023,8/22/2023,2024,8/1/2023
308173,736946,CCG21_2024,G21-41005,41005,USCTC41005G324,5/22/2023,7/11/2023,7/25/2023,7/26/2023,8/14/2023,7/11/2023,8/15/2023,2024,7/26/2023
308180,736584,GS22_2024,GS22-48027,48027,USCTC48027G324,5/22/2023,7/7/2023,7/21/2023,7/24/2023,8/3/2023,7/5/2023,8/2/2023,2024,7/24/2023
308181,U0000000002618,CCG23_2024,G23-44173,44173,,5/22/2023,10/25/2023,11/1/2023,11/2/2023,,,,2024,11/2/2023
308183,U0000000001985,N200_2024,200-42030,42030,,5/22/2023,10/12/2023,10/20/2023,10/23/2023,,,,2024,10/23/2023
308188,736519,S21_2024,S21-47004,47004,USCTC47004F324,5/22/2023,6/27/2023,7/6/2023,7/7/2023,7/27/2023,6/28/2023,8/1/2023,2024,7/7/2023
308190,736570,S21_2024,S21-47008,47008,USCTC47008G324,5/22/2023,7/26/2023,8/2/2023,8/3/2023,9/13/2023,7/31/2023,9/14/2023,2024,8/3/2023
308196,736571,S23_2024,S23-43010,43010,USCTC43010G324,5/22/2023,7/27/2023,8/4/2023,8/7/2023,8/17/2023,7/31/2023,8/22/2023,2024,8/7/2023
308198,736573,S23_2024,S23-43011,43011,USCTC43011H324,5/22/2023,8/1/2023,8/8/2023,8/9/2023,8/23/2023,8/7/2023,8/24/2023,2024,8/9/2023
308200,737560,GS24_2024,GS24-49026,49026,USCTC49026H324,5/22/2023,8/22/2023,8/29/2023,8/30/2023,9/21/2023,8/23/2023,9/25/2023,2024,8/30/2023
308221,737184,GS24_2024,GS24-49008,49008,USCTC49008F324,5/22/2023,6/21/2023,6/28/2023,6/29/2023,8/9/2023,6/22/2023,8/16/2023,2024,6/29/2023
308225,737437,CCG23_2024,G23-44092,44092,USCTC44092H324,5/22/2023,8/15/2023,8/22/2023,8/23/2023,9/11/2023,8/15/2023,9/11/2023,2024,8/23/2023
308228,737436,CCG23_2024,G23-44093,44093,USCTC44093H324,5/22/2023,8/15/2023,8/22/2023,8/23/2023,9/12/2023,8/16/2023,9/12/2023,2024,8/23/2023
308233,737556,CCG23_2024,G23-44114,44114,USCTC44114H324,5/22/2023,8/22/2023,8/29/2023,8/30/2023,9/12/2023,8/22/2023,9/12/2023,2024,8/30/2023
308307,736568,S25_2024,S25-46002,46002,USCTC46002H324,5/22/2023,7/25/2023,8/1/2023,8/2/2023,8/29/2023,8/10/2023,8/31/2023,2024,8/2/2023
308310,736122,CCG25_2024,G25-45011,45011,USCTC45011F324,5/22/2023,6/19/2023,6/27/2023,6/27/2023,8/11/2023,6/13/2023,7/10/2023,2024,6/27/2023
